iter	Passed	Remaining
405	6255	6070
406	6270	6054
407	6284	6038
408	6299	6022
409	6313	6005
410	6327	5988
411	6342	5973
412	6358	5957
413	6371	5940
414	6386	5924
415	6401	5908
416	6415	5892
417	6431	5877
418	6445	5861
419	6459	5844
420	6474	5828
421	6488	5812
422	6501	5794
423	6516	5778
424	6530	5762
425	6546	5747
426	6561	5731
427	6577	5717
428	6592	5700
429	6608	5686
430	6624	5671
431	6641	5657
432	6656	5642
433	6673	5627
434	6686	5610
435	6701	5594
436	6716	5578
437	6737	5568
438	6759	5558
439	6776	5544
440	6793	5530
441	6810	5516
442	6829	5503
443	6846	5489
444	6866	5478
445	6884	5464
446	6900	5449
447	6918	5436
448	6932	5419
449	6948	5404
450	6965	5389
451	6980	5374
452	6995	5358
453	7011	5343
454	7027	5328
455	7042	5312
456	7057	5297
457	7073	5281
458	7087	5265
459	7103	5250
460	7118	5234
461	7133	5218
462	7148	5203
463	7164	5187
464	7180	5172
465	7196	5158
466	7213	5143
467	7229	5128
468	7243	5112
469	7258	5096
470	7297	5097
471	7325	5090
472	7356	5085
473	7373	5071
474	7393	5058
475	7418	5049
476	7438	5037
477	7478	5037
478	7503	5028
479	7542	5028
480	7595	5037
481	7612	5022
482	7636	5011
483	7651	4995
484	7677	4986
485	7698	4974
486	7716	4959
487	7739	4948
488	7762	4936
489	7778	4921
490	7798	4907
491	7817	4894
492	7835	4879
493	7851	4863
494	7866	4847
495	7882	4831
496	7897	4815
497	7913	4799
498	7928	4782
499	7944	4766
500	7957	4749
501	7971	4732
502	7987	4716
503	8002	4699
504	8019	4684
505	8034	4668
506	8049	4651
507	8064	4635
508	8079	4618
509	8093	4602
510	8107	4585
511	8122	4568
512	8139	4553
513	8153	4536
514	8167	4520
515	8181	4503
516	8195	4486
517	8210	4469
518	8222	4452
519	8236	4435
520	8249	4417
521	8264	4401
522	8278	4384
523	8294	4368
524	8309	4352
525	8324	4336
526	8339	4320
527	8353	4303
528	8367	4286
529	8381	4270
530	8398	4254
531	8413	4238
532	8427	4221
533	8442	4205
534	8458	4189
535	8472	4172
536	8486	4156
537	8501	4139
538	8513	4122
539	8529	4106
540	8544	4090
541	8559	4074
542	8573	4058
543	8587	4041
544	8603	4025
545	8617	4008
546	8631	3992
547	8646	3976
548	8661	3960
549	8676	3943
550	8691	3927
551	8705	3911
552	8720	3894
553	8734	3878
554	8749	3862
555	8763	3845
556	8777	3829
557	8792	3813
558	8807	3796
559	8823	3781
560	8838	3765
561	8852	3749
562	8867	3733
563	8881	3716
564	8896	3700
565	8911	3684
566	8926	3668
567	8942	3652
568	8956	3636
569	8971	3620
570	8986	3604
571	9000	3587
572	9015	3571
573	9030	3555
574	9045	3539
575	9059	3523
576	9074	3507
577	9088	3490
578	9103	3474
579	9117	3458
580	9132	3442
581	9147	3426
582	9162	3410
583	9176	3394
584	9190	3377
585	9205	3361
586	9218	3345
587	9232	3328
588	9245	3311
589	9261	3296
590	9275	3280
591	9291	3264
592	9304	3247
593	9318	3231
594	9334	3216
595	9347	3199
596	9362	3183
597	9376	3167
598	9389	3150
599	9404	3134
600	9419	3118
601	9434	3102
602	9449	3087
603	9464	3071
604	9480	3055
605	9494	3039
606	9510	3024
607	9526	3008
608	9541	2992
609	9556	2976
610	9570	2960
611	9584	2944
612	9598	2927
613	9612	2911
614	9627	2895
615	9642	2880
616	9658	2864
617	9672	2848
618	9687	2832
619	9702	2816
620	9716	2800
621	9728	2784
622	9743	2768
623	9757	2752
624	9769	2735
625	9783	2719
626	9799	2703
627	9813	2687
628	9827	2671
629	9842	2655
630	9856	2639
631	9871	2624
632	9886	2608
633	9900	2592
634	9916	2576
635	9931	2560
636	9945	2545
637	9960	2529
638	9974	2513
639	9989	2497
640	10004	2481
641	10020	2465
642	10034	2450
643	10049	2434
644	10064	2418
645	10079	2402
646	10091	2386
647	10106	2370
648	10121	2354
649	10137	2339
650	10151	2323
651	10166	2307
652	10180	2291
653	10195	2275
654	10208	2259
655	10224	2244
656	10237	2228
657	10253	2212
658	10267	2196
659	10282	2181
660	10297	2165
661	10312	2149
662	10328	2134
663	10343	2118
664	10359	2103
665	10375	2087
666	10389	2071
667	10404	2055
668	10420	2040
669	10435	2024
670	10450	2009
671	10465	1993
672	10478	1977
673	10493	1961
674	10505	1945
675	10519	1929
676	10534	1913
677	10548	1898
678	10564	1882
679	10579	1866
680	10594	1851
681	10608	1835
682	10622	1819
683	10636	1803
684	10649	1787
685	10664	1772
686	10680	1756
687	10692	1740
688	10705	1724
689	10718	1708
690	10733	1693
691	10748	1677
692	10762	1661
693	10775	1645
694	10790	1630
695	10804	1614
696	10819	1598
697	10835	1583
698	10849	1567
699	10865	1552
700	10880	1536
701	10894	1520
702	10906	1504
703	10922	1489
704	10937	1473
705	10951	1458
706	10965	1442
707	10981	1426
708	10996	1411
709	11010	1395
710	11023	1379
711	11038	1364
712	11054	1348
713	11069	1333
714	11084	1317
715	11096	1301
716	11112	1286
717	11127	1270
718	11141	1255
719	11155	1239
720	11168	1223
721	11183	1208
722	11198	1192
723	11212	1177
724	11225	1161
725	11238	1145
726	11252	1129
727	11266	1114
728	11281	1098
729	11295	1083
730	11309	1067
731	11324	1052
732	11339	1036
733	11354	1021
734	11369	1005
735	11383	989
736	11398	974
737	11413	958
738	11428	943
739	11443	927
740	11457	912
741	11471	896
742	11486	881
743	11498	865
744	11512	849
745	11527	834
746	11540	818
747	11555	803
748	11569	787
749	11584	772
750	11598	756
751	11613	741
752	11628	725
753	11644	710
754	11658	694
755	11672	679
756	11686	663
757	11702	648
758	11717	632
759	11732	617
760	11747	602
761	11762	586
762	11778	571
763	11791	555
764	11806	540
765	11822	524
766	11837	509
767	11852	493
768	11866	478
769	11881	462
770	11897	447
771	11912	432
772	11927	416
773	11941	401
774	11955	385
775	11970	370
776	11984	354
777	11997	339
778	12011	323
779	12027	308
780	12042	292
781	12057	277
782	12071	262
783	12087	246
784	12102	231
785	12117	215
786	12133	200
787	12148	185
788	12164	169
789	12178	154
790	12193	138
791	12209	123
792	12222	107
793	12237	92
794	12252	77
795	12268	61
796	12282	46
797	12296	30
798	12311	15
799	12326	0
