iter	Logloss
168	0.5018436713
169	0.5018322549
170	0.5018219163
171	0.5017991712
172	0.5017771191
173	0.5017487939
174	0.5017371789
175	0.5017198008
176	0.5017058603
177	0.5016903201
178	0.5016731082
179	0.5016546655
180	0.501637464
181	0.5016220234
182	0.5015564702
183	0.5015399355
184	0.5015246463
185	0.5015048337
186	0.5014858027
187	0.5014660135
188	0.5014463674
189	0.5014342743
190	0.5014113944
191	0.5013940764
192	0.5013795736
193	0.5013550158
194	0.5013363055
195	0.5013088468
196	0.5012952336
197	0.5012762122
198	0.5012625723
199	0.501242856
200	0.5012252212
201	0.5012096898
202	0.5011866426
203	0.5011569031
204	0.5011388879
205	0.5010720229
206	0.501018461
207	0.5009971479
208	0.5009787404
209	0.5009681783
210	0.5009490596
211	0.5009273997
212	0.5009078281
213	0.5008785124
214	0.5008598949
215	0.5008369513
216	0.5008116948
217	0.500787503
218	0.5007685301
219	0.5007443186
220	0.5007209473
221	0.5006968269
222	0.5006751069
223	0.5006563367
224	0.5006358701
225	0.5006109683
226	0.5005932283
227	0.5005732458
228	0.5005574134
229	0.5005388938
230	0.5005238864
231	0.5005076985
232	0.5004866747
233	0.5004697225
234	0.5004544395
235	0.5004325254
236	0.5004144969
237	0.5003931132
238	0.500378006
239	0.5003590378
240	0.5003452408
241	0.5003188755
242	0.5002951803
243	0.5002726937
244	0.5002588713
245	0.5002405309
246	0.5002193415
247	0.5002016767
248	0.5001843197
249	0.5001661248
250	0.5001497761
251	0.5001278763
252	0.5001127234
253	0.5000936504
254	0.5000754804
255	0.5000514796
256	0.5000357903
257	0.500021972
258	0.4999945572
259	0.4999749903
260	0.499962171
261	0.4999404349
262	0.4999252918
263	0.4999131915
264	0.4998942333
265	0.499880239
266	0.4998616318
267	0.4998490495
268	0.4998342298
269	0.4998189054
270	0.4997995782
271	0.4997850432
272	0.4997646113
273	0.4997417598
274	0.4997296036
275	0.4997117381
276	0.4996986847
277	0.4996902073
278	0.4996735296
279	0.4996522044
280	0.4996360403
281	0.4996166301
282	0.4995984597
283	0.4995873387
284	0.4995734461
285	0.4995572839
286	0.4995363143
287	0.4995182005
288	0.4994636011
289	0.49945647
290	0.4994412212
291	0.4994279559
292	0.4994075082
293	0.4993869769
294	0.4993746516
295	0.4993554823
296	0.4993493313
297	0.4993360151
298	0.4993173488
299	0.4993014753
300	0.4992837846
301	0.4992675502
302	0.4992516006
303	0.4992347042
304	0.499214509
305	0.4992061942
306	0.4991857533
307	0.499174471
308	0.499157373
309	0.499145536
310	0.4991287214
311	0.4991124922
312	0.499098232
313	0.4990808206
314	0.4990692432
315	0.4990481461
316	0.4990387302
317	0.4990232401
318	0.4990017887
319	0.4989843571
320	0.4989663766
321	0.4989514252
322	0.4989363554
323	0.4989209629
324	0.4989073236
325	0.4988920709
326	0.498876953
327	0.4988649437
328	0.4988484404
329	0.4988323656
330	0.498813093
331	0.4987952611
332	0.4987850495
333	0.4987657003
334	0.498754308
335	0.4987383179
336	0.4987261728
337	0.4987119416
338	0.4986926006
339	0.4986758531
340	0.4986570059
341	0.4986343858
342	0.4986189926
343	0.4986009771
344	0.4985825754
345	0.4985642751
346	0.4985552588
347	0.4985418331
348	0.4985275692
349	0.4985095906
350	0.4984963726
351	0.4984816348
352	0.4984638311
353	0.4984445919
354	0.4984270847
355	0.4984108393
356	0.4983968177
357	0.4983847041
358	0.4983717972
359	0.4983628898
360	0.4983511305
361	0.4983357849
362	0.4983176686
363	0.4982876591
364	0.4982712264
365	0.4982543247
366	0.4982465394
367	0.4982294947
368	0.4982141467
369	0.4982020851
370	0.4981904536
371	0.4981746962
372	0.498163265
373	0.4981565817
374	0.4981474839
375	0.4981319215
376	0.4981184322
377	0.4981021919
378	0.4980963212
379	0.4980781509
380	0.4980582903
381	0.4980436217
382	0.4980308075
383	0.4980221179
384	0.4980083267
385	0.4979926816
386	0.4979776532
387	0.497961476
388	0.497943102
389	0.4979284464
390	0.4979107631
391	0.4978948115
392	0.4978573907
393	0.4978407183
394	0.4978277937
395	0.4978152872
396	0.4977970566
397	0.4977824958
398	0.4977696793
399	0.4977529391
400	0.4977326759
401	0.4977143889
402	0.4976951196
403	0.4976810647
404	0.4976678729
405	0.4976560954
406	0.4976357504
407	0.4976212048
408	0.4976006552
409	0.4975883104
410	0.4975714474
411	0.4975566076
412	0.4975412275
413	0.4975225453
414	0.4975083454
415	0.4974970791
416	0.4974875743
417	0.4974756101
418	0.4974662743
419	0.4974544776
420	0.4974379091
421	0.4974277311
422	0.4974142813
423	0.4973950798
424	0.4973848644
425	0.4973737167
426	0.4973607437
427	0.4973479697
428	0.4973359598
429	0.4973242832
430	0.4973129936
431	0.4973027272
432	0.4972888522
433	0.4972689541
434	0.4972598067
435	0.4972459438
436	0.497232796
437	0.4972174395
438	0.4972091058
439	0.4972055097
440	0.4971905397
441	0.4971767028
442	0.4971613767
443	0.497151759
444	0.4971125761
445	0.4970973884
446	0.4970800353
447	0.4970674418
448	0.4970558546
449	0.4970435279
450	0.4970351381
451	0.4970199044
452	0.4969972528
453	0.4969692986
454	0.4969565581
455	0.4969468646
456	0.496933903
457	0.4969265174
458	0.4969086611
459	0.4968919467
460	0.4968757683
461	0.4968629131
462	0.4968493408
463	0.4968343138
464	0.4968225851
465	0.49680854
466	0.4967986676
467	0.4967873207
468	0.496774871
469	0.4967652257
470	0.4967493996
471	0.4967375684
472	0.4967251759
473	0.4967114145
474	0.4966983341
475	0.4966853914
476	0.4966624338
477	0.4966427672
478	0.4966239765
479	0.4966149067
480	0.4966005978
481	0.4965890625
482	0.4965771236
483	0.4965641576
484	0.4965515064
485	0.49653672
486	0.496523435
487	0.4965129139
488	0.4965032426
489	0.4964928309
490	0.4964856627
491	0.4964773319
492	0.4964719806
493	0.4964636453
494	0.4964415091
495	0.4964342093
496	0.4964266369
497	0.4964172203
498	0.4964067591
499	0.4963987565
500	0.4963850099
501	0.4963793374
502	0.4963678621
503	0.496359655
504	0.496348066
505	0.4963367479
506	0.4963279385
507	0.4963121068
508	0.4963023017
509	0.496291327
510	0.4962810006
511	0.4962626173
512	0.4962508746
513	0.4962414642
514	0.4962229388
515	0.4962089764
516	0.4961936958
517	0.496182814
518	0.4961688386
519	0.496151598
520	0.4961453396
521	0.496129436
522	0.4961213851
523	0.4961087127
524	0.4961013294
525	0.4960903068
526	0.4960782208
527	0.4960643394
528	0.4960608053
529	0.4960460753
530	0.4960387864
531	0.496028945
532	0.4960199532
533	0.4960051036
534	0.4959933001
535	0.4959836495
536	0.4959730043
537	0.4959576134
538	0.4959484129
539	0.4959387412
540	0.4959282497
541	0.4959122202
542	0.4958969691
543	0.4958891766
544	0.4958727603
545	0.4958593534
546	0.4958451755
547	0.4958360972
548	0.4958217051
549	0.4958024178
550	0.4957896324
551	0.4957803239
552	0.4957775155
553	0.4957676159
554	0.4957473859
555	0.4957362355
556	0.49572403
557	0.4957145255
558	0.4957016412
559	0.4956927059
560	0.4956851206
561	0.4956749838
562	0.4956668146
563	0.4956565924
564	0.4956408125
565	0.4956291578
566	0.4956122402
567	0.495601857
568	0.4955900521
569	0.4955789527
570	0.4955628737
571	0.4955541002
572	0.4955471503
573	0.4955295021
574	0.4955184833
575	0.4955109198
576	0.4954965876
577	0.4954838767
578	0.4954713176
579	0.4954571489
580	0.4954480654
581	0.4954393445
582	0.4954264771
583	0.4954147726
584	0.495402693
585	0.4953942458
586	0.4953858162
587	0.495378294
588	0.4953635161
589	0.4953487999
590	0.4953403246
591	0.495326242
592	0.4953124954
593	0.4953022981
594	0.4952919195
595	0.4952808068
596	0.4952681786
597	0.4952551619
598	0.495244863
599	0.4952335444
600	0.4952195261
601	0.4952119183
602	0.4952020919
603	0.4951861279
604	0.4951743741
605	0.4951665404
606	0.4951619874
607	0.4951464584
608	0.4951333446
609	0.4951200419
610	0.4951092088
611	0.4950998471
612	0.4950861087
613	0.4950796071
614	0.4950685784
615	0.4950584469
616	0.4950462711
617	0.4950327728
618	0.495025438
619	0.495016559
620	0.4950091272
621	0.4949985626
622	0.4949861166
623	0.494977153
624	0.4949738346
625	0.4949643695
626	0.4949578758
627	0.4949494065
628	0.4949396976
629	0.4949266923
630	0.4949167689
631	0.4949079731
632	0.4948956317
633	0.494874615
634	0.4948669735
635	0.4948528557
636	0.4948430022
637	0.494834783
638	0.4948243215
639	0.4948172471
640	0.4948094757
641	0.4947975892
642	0.4947837136
643	0.4947671712
644	0.4947574195
645	0.4947483731
646	0.4947368492
647	0.4947274075
648	0.4947171888
649	0.4947051903
